epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2255.02,1.08249,5.38013,0.19315,0.81216,1.07142,0.92799,0.94643,0.97025,0.62719,0.39413,0.26929,0.18136,0.06458,1.25192,6.16832,0.0863,0.84857,1.19703,0.00123791,0.00123791,0.00123791
28,2336.53,1.14074,5.53191,0.18476,0.80078,1.12758,0.94658,0.815,0.93394,0.58596,0.32638,0.30929,0.19368,0.06316,1.32496,6.09621,0.08875,0.86334,1.2261,0.00122141,0.00122141,0.00122141
29,2418.08,1.05235,5.46555,0.20213,0.77535,1.07252,0.8844,0.90493,0.93554,0.58062,0.33405,0.30929,0.17371,0.03984,1.29312,6.21063,0.08551,0.87214,1.21518,0.00120491,0.00120491,0.00120491
30,2499.26,1.00429,5.38631,0.19742,0.72288,1.04996,0.83584,0.92963,0.94044,0.57237,0.39067,0.33143,0.2084,0.05195,1.42561,5.7367,0.08728,0.85295,1.30782,0.0011884,0.0011884,0.0011884
31,2580.68,0.95883,5.03928,0.17316,0.69247,1.03031,0.94788,0.78865,0.92858,0.60729,0.48242,0.28929,0.22546,0.07558,1.30669,5.95134,0.08994,0.78762,1.27615,0.0011719,0.0011719,0.0011719
32,2661.98,1.03631,5.19284,0.17687,0.72882,1.0742,0.88589,0.84276,0.92282,0.60331,0.43137,0.32714,0.23377,0.06328,1.31578,5.91574,0.07261,0.79377,1.26238,0.0011554,0.0011554,0.0011554
33,2743.06,1.00825,5.10826,0.18095,0.73634,1.04883,0.85393,0.89071,0.92047,0.63135,0.55296,0.41643,0.33065,0.09298,1.25284,5.60037,0.06101,0.79685,1.23763,0.00113889,0.00113889,0.00113889
34,2823.59,1.02377,5.09252,0.17553,0.72769,1.05742,0.96332,0.84861,0.90259,0.5975,0.3669,0.30714,0.20753,0.04729,1.27513,5.88556,0.06159,0.8344,1.26107,0.00112239,0.00112239,0.00112239
35,2904.05,0.95901,5.03589,0.15038,0.68774,1.02521,0.957,0.81717,0.89372,0.59356,0.36411,0.30714,0.17706,0.0433,1.33589,6.13492,0.08351,0.88312,1.34181,0.00110589,0.00110589,0.00110589
36,2984.48,1.04335,5.06074,0.18457,0.75214,1.05519,0.92381,0.92643,0.94647,0.61705,0.39638,0.32929,0.24152,0.04636,1.21999,6.00651,0.08784,0.76801,1.22991,0.00108938,0.00108938,0.00108938
37,3064.88,0.98365,5.18179,0.19238,0.74379,1.06947,0.91493,0.88016,0.93105,0.60859,0.35901,0.29357,0.20287,0.05303,1.27882,6.23579,0.07806,0.80723,1.28156,0.00107288,0.00107288,0.00107288
38,3145.38,0.94442,5.08094,0.16248,0.71722,1.03691,0.95696,0.86983,0.95548,0.61547,0.37894,0.26714,0.17319,0.04686,1.23759,5.76386,0.06723,0.80842,1.26563,0.00105638,0.00105638,0.00105638
39,3225.64,0.94289,5.00619,0.17887,0.70451,1.05257,0.85754,0.94679,0.97642,0.60893,0.42998,0.30929,0.23796,0.0669,1.22455,5.57908,0.06757,0.72453,1.26295,0.00103987,0.00103987,0.00103987
40,3306.05,0.97529,4.76062,0.16429,0.71276,1.04552,0.89554,0.94905,0.98022,0.65616,0.46517,0.385,0.29739,0.07349,1.1448,5.65921,0.06316,0.68353,1.18525,0.00102337,0.00102337,0.00102337
41,3386.41,0.95393,4.94709,0.17263,0.67761,1.0146,0.98186,0.82681,0.97275,0.66372,0.44383,0.42071,0.31002,0.08635,1.12946,5.53313,0.06985,0.70043,1.15186,0.00100687,0.00100687,0.00100687
42,3466.75,0.90943,4.73606,0.14769,0.63195,0.98459,0.91329,0.98214,0.98474,0.67668,0.43652,0.42883,0.34405,0.09189,1.12334,5.34408,0.07593,0.68566,1.18852,0.000990365,0.000990365,0.000990365
43,3547.42,0.91757,4.71669,0.17205,0.67596,1.01067,0.93744,0.97321,0.98775,0.66865,0.4288,0.46379,0.31908,0.07611,1.12518,5.4092,0.09422,0.64987,1.17942,0.000973861,0.000973861,0.000973861
44,3627.75,0.93183,4.87481,0.15387,0.72317,1.02923,0.95352,0.97236,0.98179,0.6749,0.34112,0.30929,0.19329,0.06429,1.13569,6.09482,0.2869,0.65187,1.1825,0.000957358,0.000957358,0.000957358
45,3708.05,0.9272,4.60945,0.17208,0.63421,1.03132,0.92974,0.97081,0.98296,0.68419,0.52777,0.3602,0.31879,0.08834,1.13394,5.98984,0.27017,0.65374,1.17311,0.000940855,0.000940855,0.000940855
46,3788.48,0.90565,4.66576,0.17643,0.64734,0.99349,0.94846,0.90414,0.97553,0.66713,0.53414,0.36286,0.33322,0.0864,1.08587,5.65288,0.20512,0.69435,1.13974,0.000924352,0.000924352,0.000924352
47,3869.41,0.90179,4.49388,0.16504,0.63857,1.01901,0.99014,0.86326,0.9629,0.68543,0.59498,0.42071,0.34104,0.10105,1.03148,5.46626,0.13772,0.67495,1.09766,0.000907848,0.000907848,0.000907848
48,3950.04,0.89188,4.41976,0.17184,0.6384,1.02754,0.98607,0.84576,0.95849,0.66823,0.45951,0.365,0.2979,0.10482,1.0602,5.48342,0.09581,0.66696,1.10716,0.000891345,0.000891345,0.000891345
49,4030.37,0.86957,4.29134,0.16821,0.62637,0.98166,0.90462,0.98,0.98467,0.66542,0.53992,0.36714,0.30301,0.0942,1.16082,5.67237,0.12487,0.66985,1.16149,0.000874842,0.000874842,0.000874842
50,4110.77,0.82325,4.15536,0.15291,0.59156,0.97726,0.98908,0.94,0.99269,0.68799,0.49574,0.42071,0.33205,0.08973,1.14441,5.69461,0.13451,0.64831,1.138,0.000858338,0.000858338,0.000858338
51,4191.46,0.87388,4.43851,0.15539,0.6229,0.99763,0.99696,0.88429,0.98531,0.70362,0.57722,0.42071,0.38695,0.10374,1.10572,5.7249,0.1295,0.61812,1.13414,0.000841835,0.000841835,0.000841835
52,4271.92,0.87333,4.5444,0.1878,0.61932,0.99535,0.96552,0.94429,0.98867,0.69558,0.584,0.47429,0.38946,0.10744,1.13269,5.5255,0.09874,0.63547,1.13116,0.000825332,0.000825332,0.000825332
53,4352.12,0.84556,4.16027,0.16638,0.59586,1.00212,0.93103,0.95931,0.98637,0.67492,0.58167,0.47214,0.34202,0.10353,1.13744,5.30779,0.08895,0.62141,1.15033,0.000808828,0.000808828,0.000808828
54,4432.5,0.85073,4.18294,0.1557,0.61908,1.00386,0.94951,0.9422,0.98197,0.71259,0.63074,0.47128,0.4147,0.11325,1.08947,5.15135,0.06983,0.62648,1.10777,0.000792325,0.000792325,0.000792325
55,4512.9,0.84729,4.07588,0.15001,0.60008,0.97344,0.91553,0.93957,0.97706,0.70824,0.56195,0.44071,0.37591,0.08902,1.02292,5.3833,0.06151,0.66851,1.09523,0.000775822,0.000775822,0.000775822
56,4593.17,0.79996,4.03973,0.15989,0.57857,0.96509,0.88256,0.99445,0.97313,0.68223,0.47978,0.47857,0.37922,0.10951,1.02108,5.22644,0.07048,0.64646,1.10212,0.000759318,0.000759318,0.000759318
57,4673.6,0.86346,4.27988,0.17082,0.63288,1.02366,0.97681,0.91818,0.98593,0.69178,0.42499,0.47429,0.331,0.09777,1.00908,5.37745,0.06846,0.61204,1.08713,0.000742815,0.000742815,0.000742815
58,4753.95,0.81259,4.13192,0.1425,0.59414,0.95712,0.95876,0.95528,0.98985,0.70876,0.46368,0.38286,0.32097,0.10885,1.03098,5.44369,0.06407,0.60601,1.08581,0.000726312,0.000726312,0.000726312
59,4834.35,0.77017,3.76604,0.14528,0.55062,0.95429,0.97397,0.94,0.98482,0.69175,0.72087,0.54319,0.52274,0.18059,1.05046,4.95816,0.06112,0.6071,1.10997,0.000709809,0.000709809,0.000709809
60,4914.86,0.79261,3.85129,0.14944,0.56218,0.95697,0.95245,0.97765,0.98192,0.68956,0.65933,0.51429,0.4745,0.15102,1.08386,5.07217,0.07007,0.64611,1.12434,0.000693305,0.000693305,0.000693305
